Neighborhood,Mean_Antique,Mean_Sale_Price,median
Bloomington_Heights,2,196661.67857142858,191500
Blueste,25,143590,130500
Briardale,35,105608.33333333333,106000
Brookside,39,124756.25,126750
Clear_Creek,28,208662.0909090909,197500
College_Creek,8,201803.43445692884,200000
Crawford,29,207550.83495145632,200624
Edwards,33,130843.38144329897,125000
Gilbert,9,190646.57575757575,183000
Green_Hills,14,280000,280000
Greens,26,193531.25,198000
Iowa_DOT_and_Rail_Road,43,103752.90322580645,106500
Landmark,12,137000,137000
Meadow_Village,32,95756.48648648648,88250
Mitchell,22,162226.63157894736,153500
North_Ames,37,145097.34988713317,140000
Northpark_Villa,32,140710.86956521738,143750
Northridge,11,330319.1267605634,302000
Northridge_Heights,2,322018.265060241,317750
Northwest_Ames,28,188406.90839694656,181000
Old_Town,34,123991.89121338913,119900
Sawyer,32,136751.1523178808,135000
Sawyer_West,15,184070.184,180000
Somerset,3,229707.32417582418,225500
South_and_West_of_Iowa_State_University,44,135071.9375,136200
Stone_Brook,8,324229.1960784314,319000
Timberland,11,246599.54166666666,232106.5
Veenker,20,248314.58333333334,250250
